sentence	obj-1	obj-2	aspect	t5_few
What is the difference between the Presidents list and Deans list at College ?	Presidents list	Deans list	-	'brains female', 'brains Objects: 'Presidents list', 'Deans list' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between the Presidents list and Deans list?'? Aspect: difference What are the objects and the aspect of comparison?'A betterspeed than  
who lies the most women or men ?	women	men	lies	'brains female', 'brains Objects:'men', 'women' Aspect: womenObjects:'men', 'women' Aspect: womenObjects:'men', 'women' Aspect: women What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' What are
Who will win , iran or israel , if there is a war ?	iran	israel	win	'brains female', 'Objects: 'iran', 'israel' Aspect: iranObjects: 'iran', 'israel' Aspect: Objects: 'iran', 'israel' Aspect: war What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?',' '?
Will it make any difference if I purchase a laptop from the manufacturer ( like Dell or Apple ) or from a retailer ( like Best Buy or Circuit City ) ?	purchase a laptop from the manufacturer	purchase a laptop from a retailer	-	'brains female', 'brains male' Aspect: different Aspect: different What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?' Objects: 'literal dreams','symbolic dreams' Aspect: different What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' 
what is the difference between angaina pectoris and myocardial infarction ?	angaina pectoris	myocardial infarction	-	'brains female', 'brains Objects: 'angaina pectoris','myocardial infarction' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between angina pectoris and myocardial infarction?'?
Who is better , Quantine Terrantino or Stephen King ?	Quantine Terrantino	Stephen King	better	'brains female', 'brains Objects: 'Quantine Terrantino', 'Stephen King' Aspect: better : - Who is better, Stephen King or Stephen King?'? Objects: 'Quantine Terrantino', 'Stephen King' Aspect: better : - Who is better, Stephen King or Quantine Terrantino?'?
What do women do better than men ?	women	men	do	'brains female', 'brains Objects: 'do better than men', 'do better than women' Aspect: do better than men What are the objects and the aspect of comparison in the sentence 'What do women do better than men?'? Objects: 'do better than men', 'do better than women' Aspect: better than men What are the objects
Why are townhomes priced considerably lower than single family homes ?	townhomes	single family homes	priced	'brains female', 'brains Objects: 'townhomes','single family homes' Aspect: price What are the objects and the aspect of comparison in the sentence 'Why are condos so expensive?' Objects: 'townhomes','single family homes' Aspect: price
Do you prefer Dallas or Austin , TX ?	Dallas	Austin	prefer	'brains female', 'brains Objects: 'Dallas', 'Austin' Aspect: Dallas Objects: 'Dallas', 'Austin' Aspect: Dallas Dallas Objects: 'Austin', 'Dallas' Aspect: Dallas DallasObjects: ''??
who do you like better ashely tisdale or Miley ?	ashely tisdale	Miley	like	'brains female', 'brains Objects: 'ashely tisdale','miley' Aspect: Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley - Miley -
when playing a game , are you a better winner or loser ?	winner	loser	-	' Objects: 'winner', 'loser' Aspect: winner What are the objects and the aspect of comparison in the sentence 'Who is better, a winner or a loser?' Objects: 'winner', 'loser' Aspect: winner What are the objects and the aspect of comparison in the sentence
what is the difference between Catholics and Episcopalians ?	Catholics	Episcopalians	-	'brains female', 'brains Objects: 'Catholics', 'Episcopalian' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Catholics and Episcopalians?'? Objects: 'Catholics', 'Episcopalian' Aspect: difference Between Catholics and Episco
"What is the difference between "" then "" and "" than "" ?"	then	than	-	"', 'brains female' Aspect: different from'Objects: 'then', 'then' Aspect: then What are the objects and the aspect of comparison in the sentence 'What is the difference between "" then "" and "" than ""?'? Objects: 'then', 'then' Aspect: then better   '?"
Do women sense things stronger than men ?	women	men	sense things	'brains female', 'brains Objects: 'Do women sense things stronger than men','men' Aspect: stronger What are the objects and the aspect of comparison in the sentence 'Do women sense things stronger than men?'? Objects: 'Do women sense things stronger than men', 'Do women sense better   ?  
What is the difference between mythology ( each and every ) and christianity ?	mythology	christianity	-	'brains female','Objects:'mythology', 'christianity' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between mythology and christianity?','mythology'? Aspect: mythology, christianity
what is the difference between a fruit and vegatable ?	fruit	vegatable	-	'brains female', 'brains Objects: 'fruit','vegetable' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a fruit and a vegetable?'? Objects: 'fruit','vegetable' Aspect: difference
what is the difference between SIV and HIV ?	SIV	HIV	-	'brains female', 'brains Objects: 'SIV', 'HIV' Aspect: HIV What are the objects and the aspect of comparison in the sentence 'What is the difference between SIV and HIV?'? Objects: 'SIV', 'HIV' Aspect: HIV Difference
Is anisotropic better than trilinear ?	anisotropic	trilinear	better	' Objects: 'is anisotropic better than trilinear?', 'is trilinear better than anisotropic' Aspect: better than trilinear What are the objects and the aspect of comparison in the sentence 'Why is a physics degree better than a math degree?' Objects: 'physics', 'physics Aspect:   '
are girls better arguers than boys ?	girls	boys	better arguers	'brains female', 'brains Objects: 'are girls better arguers than boys', 'are boys' Aspect: arguers Aspect: girls better Aspect: boys better What are the objects and the aspect of comparison in the sentence 'are girls better arguers than boys?'? Objects: 'girls', 'boys' Aspect: arguers
What are the differences between Slave and Employees ?	Slave	Employees	-	'brains female', 'brains Objects: 'Slave', 'Employee' Aspect: differences between slave and employees?', 'Slave' Aspect: differences between employees and slaves Aspect: differences between employees and slaves Aspect: differences between employees'   '''speed than '
what is the difference between vb.net and asp.net ?	vb.net	asp.net	difference	' Objects: 'vb.net', 'asp.net' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between vb.net and asp.net?'? Objects: 'vb.net', 'asp.net' Aspect: difference What are the objects and the aspect of comparison in the sentence '
what is difference between ipod and mp 3 player ?	ipod	mp 3 player	difference	'brains female', 'brains Objects: 'ipod','mp 3 player' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the' Objects: 'ipod','mp 3 player' Aspect: difference BetweenObjects: and and and  ? A than
Why are fans crazier at football games than basketball games ?	fans football games	fans basketball games	crazier	'brains female', 'brains Objects: 'football games', 'basketball games' Aspect: football games crazier than basketball games What are the objects and the aspect of comparison in the sentence 'Why are fans crazier at football games than basketball games?'? Objects: 'football', 'basketball' Aspect: fans crazier :
Do you generally open gifts on Christmas Eve or Christmas Day ? ( if you celebrate Christmas that is ) . ?	Christmas Eve	Christmas Day	open	'brains female', 'brains Objects: 'Christmas Eve', 'Christmas Day' Aspect: Christmas Eve - '' Objects: 'Christmas Eve', 'Christmas Day' Aspect: Christmas DayObjects: 'Christmas Eve', 'Christmas Day' Aspect:Object and the aspect of???
Do older houses have as much value as newer ones when they are upgraded ?	older houses upgraded	houses newer	value	'brains female', 'brains Objects: 'older houses', 'upgraded' Aspect: value What are the objects and the aspect of comparison in the sentence 'Do' Aspect: value: Aspect: value: older houses What are the objects and the aspect of comparison in the sentence 'Does the government pay for',,,? 
Is the plural fish or fishes ?	fish	fishes	plural	'brains female', 'brains Objects: 'fishes', 'fishes' Aspect: plural What are the objects and the aspect of comparison in the sentence 'What is the plural of fish?'? Objects: 'fish', 'fishes' Aspect: plural
what marker dries out faster rose art or crayola markers ?	marker rose art	marker crayola	dries out	'brains female', 'brains Objects: 'rose art', 'crayola' Aspect: markersObjects: 'rose art', 'crayola' Aspect: markersObjects: 'rose art', 'crayola' Aspect: markers' and the aspect of and and?? 
What is the difference between genes and alleles ?	genes	alleles	difference	brains female', 'brains Objects: 'genes', 'alleles' Aspect: genes and alleles What are the objects and the aspect of comparison in the sentence 'What are the differences between genes and alleles?'?' What are the objects and the aspect of comparison in the sentence 'What is the difference between genes and alleles?'?
Who is sexier ? Brandon or Jannes ?	Brandon	Jannes	sexier	'brains female', 'brains Objects: 'Brandon', 'Jannes' Aspect: sexier What are the objects and the aspect of comparison in the sentence 'Who is sexier? Brandon or Jannes?'? Objects: 'Brandon', 'Jannes' Aspect: sexier Brandon Brandon Brandon Brandon Brandon Brandon
Who was hung better , Hitler or Himmler ?	Hitler	Himmler	hung better	'brains female', 'brains Objects: 'Hitler', 'Himmler' Aspect: Hitler Better Objects: 'Himmler', 'Hitler' Aspect: Hitler BetterObjects: 'Himmler', 'Hitler' Aspect: Hitler Better What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits
who looks better , kyla pratt or raven samone ?	kyla pratt	raven samone	looks better	'brains female', 'brains Objects: 'kyla pratt', 'raven samone' Aspect: better kyla pratt or raven samone?'? Aspect: better kyla pratt or raven samone?
